"ID","TrapDate","TagID","ObsDate","lastObsDate","SiteID","Node","AutoProcStatus","UserProcStatus","ModelObs","ValidPath","UserComment","NodeOrder","Direction","BranchNum","Group","Migration"
1,7/21/2015 0:00:00,"384.3B23ACD3EF",7/21/2015 10:00:00,7/21/2015 10:53:15,"LGRLDR","GRA",1,1,1,1,,1.00,"Up","NA","NA","Upstream"
2,7/21/2015 0:00:00,"384.3B23ACD6CB",7/21/2015 9:55:40,2/23/2016 21:40:26,"GRA","GRA",1,1,1,1,,1.00,"Up","NA","NA","Upstream"
3,7/21/2015 0:00:00,"384.3B23ACF428",7/21/2015 8:49:48,7/21/2015 10:00:00,"GRA","GRA",1,1,1,1,,1.00,"Up","NA","NA","Upstream"
4,7/21/2015 0:00:00,"384.3B23ACF428",1/24/2016 20:14:15,2/18/2016 2:18:58,"ACM","ACMA0",1,1,1,1,,3.00,"Up","5","Asotin","Upstream"
5,7/21/2015 0:00:00,"384.3B23AD1C98",7/21/2015 8:42:49,7/21/2015 10:00:00,"GRA","GRA",1,1,1,1,,1.00,"Up","NA","NA","Upstream"
6,7/21/2015 0:00:00,"384.3B23AD2A33",7/21/2015 9:46:44,7/21/2015 10:00:00,"GRA","GRA",1,1,1,1,,1.00,"Up","NA","NA","Upstream"
7,7/21/2015 0:00:00,"384.3B23AD2A33",3/30/2016 8:45:00,3/30/2016 8:45:00,"ASOTIC","ASOTIC",1,1,1,1,,4.00,"Up","5","Asotin","Upstream"
8,7/21/2015 0:00:00,"384.3B23AD2A33",3/30/2016 15:46:39,3/30/2016 15:46:39,"ACB","ACB",1,1,1,1,,5.00,"Up","5","Asotin","Upstream"
9,7/21/2015 0:00:00,"384.3B23AD3C6E",7/21/2015 10:00:00,7/23/2015 12:43:16,"LGRLDR","GRA",1,1,1,1,,1.00,"Up","NA","NA","Upstream"
10,7/21/2015 0:00:00,"384.3B23AD3C6E",2/25/2016 0:25:29,2/25/2016 0:25:29,"ACM","ACMA0",1,1,1,1,,3.00,"Up","5","Asotin","Upstream"
11,7/21/2015 0:00:00,"384.3B23AD3C6E",3/13/2016 8:30:00,4/2/2016 8:45:00,"ASOTIC","ASOTIC",1,1,1,1,,4.00,"Up","5","Asotin","Upstream"
12,7/21/2015 0:00:00,"384.3B23AD3C6E",4/2/2016 14:30:16,4/2/2016 14:30:16,"ACB","ACB",1,1,1,1,,5.00,"Up","5","Asotin","Upstream"
